EventTypes,working,commuting,entertainment,home
Plucked string instrument,0.0,0.0,0.0,0.0
Guitar,0.0,0.0,0.0,0.0
Electric guitar,0.0,0.0,0.0,0.0
Bass guitar,0.0,0.0,0.0,0.0
Acoustic guitar,0.0,0.0,0.0,0.0
"Steel guitar, slide guitar",0.0,0.0,0.0,0.0
Tapping (guitar technique),0.0,0.0,0.0,0.0
Strum,0.0,0.0,0.0,0.0
Banjo,0.0,0.0,0.0,0.0
Sitar,0.0,0.0,0.0,0.0
Mandolin,0.0,0.0,0.0,0.0
Zither,0.0,0.0,0.0,0.0
Ukulele,0.0,0.0,0.0,0.0
Keyboard (musical),0.0,0.0,0.0,0.0
Piano,0.0,0.0,0.0,0.0
Electric piano,0.0,0.0,0.0,0.0
Organ,0.0,0.0,0.0,0.0
Electronic organ,0.0,0.0,0.0,0.0
Hammond organ,0.0,0.0,0.0,0.0
Synthesizer,0.0,0.0,0.0,0.0
Sampler,0.0,0.0,0.0,0.0
Harpsichord,0.0,0.0,0.0,0.0
Percussion,0.0,0.0,0.0,0.0517
Drum kit,0.0,0.0,0.0,0.0
Drum machine,0.0,0.0,0.0,0.0
Drum,0.0,0.0,0.0,0.0517
Snare drum,0.0,0.0,0.0,0.0
Rimshot,0.0,0.0,0.0,0.0
Drum roll,0.0,0.0,0.0,0.0
Bass drum,0.0,0.0,0.0,0.0
Timpani,0.0,0.0,0.0,0.0
Tabla,0.0,0.0,0.0,0.0
Cymbal,0.0,0.0,0.0,0.0
Hi-hat,0.0,0.0,0.0,0.0
Wood block,0.0,0.0,0.0,0.0
Tambourine,0.0,0.0,0.0,0.0
Rattle (instrument),0.0,0.0,0.0,0.0
Maraca,0.0,0.0,0.0,0.0
Gong,0.0,0.0,0.0,0.0
Tubular bells,0.0,0.0,0.0,0.0
Mallet percussion,0.0,0.0,0.0,0.0
"Marimba, xylophone",0.0,0.0,0.0,0.0
Glockenspiel,0.0,0.0,0.0,0.0
Vibraphone,0.0,0.0,0.0,0.0
Steelpan,0.0,0.0,0.0,0.0
Orchestra,0.0,0.0,0.0,0.0
Brass instrument,0.0,0.0,0.0,0.0
French horn,0.0,0.0,0.0,0.0
Trumpet,0.0,0.0,0.0,0.0
Trombone,0.0,0.0,0.0,0.0
Bowed string instrument,0.0,0.0,0.0,0.0
String section,0.0,0.0,0.0,0.0
"Violin, fiddle",0.0,0.0,0.0,0.0
Pizzicato,0.0,0.0,0.0,0.0
Cello,0.0,0.0,0.0,0.0
Double bass,0.0,0.0,0.0,0.0
"Wind instrument, woodwind instrument",0.0,0.0,0.0,0.0
Flute,0.0,0.0,0.0,0.0
Saxophone,0.0,0.0,0.0,0.0
Clarinet,0.0,0.0,0.0,0.0
Harp,0.0,0.0,0.0,0.0
Bell,0.0,0.0,0.0536,0.0
Church bell,0.0,0.0,0.0,0.0
Jingle bell,0.0,0.0,0.0,0.0
Bicycle bell,0.0,0.0,0.0,0.0
Tuning fork,0.0,0.0,0.0,0.0
Chime,0.0,0.0,0.0,0.0
Wind chime,0.0,0.0,0.1071,0.0
Change ringing (campanology),0.0,0.0,0.0,0.0
Harmonica,0.0,0.0,0.0,0.0
Accordion,0.0,0.0,0.0,0.0
Bagpipes,0.0,0.0,0.0,0.0
Didgeridoo,0.0,0.0,0.0,0.0
Shofar,0.0,0.0,0.0,0.0
Theremin,0.0,0.0,0.0,0.0
Singing bowl,0.0,0.0,0.0,0.0
Scratching (performance technique),0.0,0.0,0.0,0.0
Pop music,0.0,0.0,0.0,0.0
Hip hop music,0.0,0.0,0.0,0.0
Beatboxing,0.0,0.0,0.0,0.0
Rock music,0.0,0.0,0.0,0.0
Heavy metal,0.0,0.0,0.0,0.0
Punk rock,0.0,0.0,0.0,0.0
Grunge,0.0,0.0,0.0,0.0
Progressive rock,0.0,0.0,0.0,0.0
Rock and roll,0.0,0.0,0.0,0.0
Psychedelic rock,0.0,0.0,0.0,0.0
Rhythm and blues,0.0,0.0,0.0,0.0
Soul music,0.0,0.0,0.0,0.0
Reggae,0.0,0.0,0.0,0.0
Country,0.0,0.0,0.0,0.0
Swing music,0.0,0.0,0.0,0.0
Bluegrass,0.0,0.0,0.0,0.0
Funk,0.0,0.0,0.0,0.0
Folk music,0.0,0.0,0.0,0.0
Middle Eastern music,0.0,0.0,0.0,0.0
Jazz,0.0,0.0,0.0,0.0
Disco,0.0,0.0,0.0,0.0
Classical music,0.0,0.0,0.0,0.0
Opera,0.0,0.0,0.0,0.0
Electronic music,0.0,0.0,0.0,0.0
House music,0.0,0.0,0.0,0.0
Techno,0.0,0.0,0.0,0.0
Dubstep,0.0,0.0,0.0,0.0
Drum and bass,0.0,0.0,0.0,0.0
Electronica,0.0,0.0,0.0,0.0
Electronic dance music,0.0,0.0,0.0,0.0
Ambient music,0.0,0.0,0.0,0.0
Trance music,0.0,0.0,0.0,0.0
Music of Latin America,0.0,0.0,0.0,0.0
Salsa music,0.0,0.0,0.0,0.0
Flamenco,0.0,0.0,0.0,0.0
Blues,0.0,0.0,0.0,0.0
Music for children,0.0,0.0,0.0,0.0
New-age music,0.0,0.0,0.0,0.0
Vocal music,0.0,0.0,0.0,0.0
A capella,0.0,0.0,0.0,0.0
Music of Africa,0.0,0.0,0.0,0.0
Afrobeat,0.0,0.0,0.0,0.0
Christian music,0.0,0.0,0.0,0.0
Gospel music,0.0,0.0,0.0,0.0
Music of Asia,0.0,0.0,0.0,0.0
Carnatic music,0.0,0.0,0.0,0.0
Music of Bollywood,0.0,0.0,0.0,0.0
Ska,0.0,0.0,0.0,0.0
Traditional music,0.0,0.0,0.0,0.0
Independent music,0.0,0.0,0.0,0.0
Song,0.0,0.0,0.0,0.0
Background music,0.0,0.0,0.0,0.0
Theme music,0.0,0.0,0.0,0.0
Jingle (music),0.0,0.0,0.0,0.0
Soundtrack music,0.0,0.0,0.0,0.0
Lullaby,0.0,0.0,0.0,0.0
Video game music,0.0,0.0,0.0,0.0
Christmas music,0.0,0.0,0.0,0.0
Dance music,0.0,0.0,0.0,0.0
Wedding music,0.0,0.0,0.0,0.0
Happy music,0.0,0.0,0.0,0.0
Funny music,0.0,0.0,0.0,0.0
Sad music,0.0,0.0,0.0,0.0
Tender music,0.0,0.0,0.0,0.0
Exciting music,0.0,0.0,0.0,0.0
Angry music,0.0,0.0,0.0,0.0
Scary music,0.0,0.0,0.0,0.0
Wind,0.0,0.0,0.0,0.0
Rustling leaves,0.0,0.0205,0.0,0.0517
Wind noise (microphone),0.0,0.0719,0.0,0.0
Thunderstorm,0.0,0.0,0.0,0.0
Thunder,0.0,0.0205,0.0,0.0
Water,0.0,0.0,0.0,1.0345
Rain,0.0,0.0,0.0,0.0
Raindrop,0.0,0.0,0.0,0.0
Rain on surface,0.0,0.0308,0.0,0.0
Stream,0.0,0.0,0.0,0.0
Waterfall,0.0,0.0,0.0,0.0
Ocean,0.0,0.0103,0.0,0.0
"Waves, surf",0.0,0.0,0.0,0.0
Steam,0.0,0.0,0.0,0.0
Gurgling,0.0,0.0205,0.0,0.4655
